studentId,name,email
B21DCCN001,Nguyễn Văn An,annv.b21dccn001@stu.ptit.edu.vn
B21DCCN002,Trần Thị Bình,binhtt.b21dccn002@stu.ptit.edu.vn
B21DCCN003,Lê Hoàng Cường,cuonglh.b21dccn003@stu.ptit.edu.vn
B21DCCN004,Phạm Minh Đức,ducpm.b21dccn004@stu.ptit.edu.vn
B21DCCN005,Hoàng Thu Hà,haht.b21dccn005@stu.ptit.edu.vn
B21DCCN006,Vũ Đình Hùng,hungvd.b21dccn006@stu.ptit.edu.vn
B21DCCN007,Đặng Thị Hương,huongdt.b21dccn007@stu.ptit.edu.vn
B21DCCN008,Bùi Văn Khoa,khoabv.b21dccn008@stu.ptit.edu.vn
B21DCCN009,Ngô Thị Lan,lantt.b21dccn009@stu.ptit.edu.vn
B21DCCN010,Trịnh Văn Long,longtv.b21dccn010@stu.ptit.edu.vn
B21DCCN011,Đinh Thị Mai,maidt.b21dccn011@stu.ptit.edu.vn
B21DCCN012,Phan Văn Nam,nampv.b21dccn012@stu.ptit.edu.vn
B21DCCN013,Dương Thị Ngọc,ngocdt.b21dccn013@stu.ptit.edu.vn
B21DCCN014,Võ Minh Phát,phatvm.b21dccn014@stu.ptit.edu.vn
B21DCCN015,Lý Thị Quỳnh,quynhlt.b21dccn015@stu.ptit.edu.vn
B21DCCN016,Cao Văn Sơn,soncv.b21dccn016@stu.ptit.edu.vn
B21DCCN017,Mai Thị Thanh,thanhmt.b21dccn017@stu.ptit.edu.vn
B21DCCN018,Hồ Văn Tuấn,tuanhv.b21dccn018@stu.ptit.edu.vn
B21DCCN019,Chu Thị Uyên,uyenct.b21dccn019@stu.ptit.edu.vn
B21DCCN020,Tô Văn Vinh,vinhtv.b21dccn020@stu.ptit.edu.vn
B21DCCN021,Trương Thị Xuân,xuantt.b21dccn021@stu.ptit.edu.vn
B21DCCN022,Lâm Văn Yên,yenlv.b21dccn022@stu.ptit.edu.vn
B21DCCN023,Nguyễn Thị Ánh,anhnt.b21dccn023@stu.ptit.edu.vn
B21DCCN024,Trần Văn Bảo,baotv.b21dccn024@stu.ptit.edu.vn
B21DCCN025,Lê Thị Chi,chilet.b21dccn025@stu.ptit.edu.vn
B21DCCN026,Phạm Văn Dũng,dungpv.b21dccn026@stu.ptit.edu.vn
B21DCCN027,Hoàng Thị Nga,nganht.b21dccn027@stu.ptit.edu.vn
B21DCCN028,Vũ Văn Hải,haivv.b21dccn028@stu.ptit.edu.vn
B21DCCN029,Đặng Thị Kim,kimdt.b21dccn029@stu.ptit.edu.vn
B21DCCN030,Bùi Văn Linh,linhbv.b21dccn030@stu.ptit.edu.vn
B21DCCN031,Ngô Thị My,myntt.b21dccn031@stu.ptit.edu.vn
B21DCCN032,Trịnh Văn Nghĩa,nghiatv.b21dccn032@stu.ptit.edu.vn
B21DCCN033,Đinh Thị Oanh,oanhdt.b21dccn033@stu.ptit.edu.vn
B21DCCN034,Phan Văn Phong,phongpv.b21dccn034@stu.ptit.edu.vn
B21DCCN035,Dương Thị Quỳnh,quynhdt.b21dccn035@stu.ptit.edu.vn
B21DCCN036,Võ Văn Tài,taivv.b21dccn036@stu.ptit.edu.vn
B21DCCN037,Lý Thị Thu,thult.b21dccn037@stu.ptit.edu.vn
B21DCCN038,Cao Văn Trung,trungcv.b21dccn038@stu.ptit.edu.vn
B21DCCN039,Mai Thị Vân,vanmt.b21dccn039@stu.ptit.edu.vn
B21DCCN040,Hồ Văn Đạt,dathv.b21dccn040@stu.ptit.edu.vn
